tabuLength,iter,neighbourhood,cost
2030,3672,0.37186,53505.7
1032,962,0.533842,51098.3
3993,4492,0.292173,65820.3
739,377,0.855719,42367.3
2052,2659,0.275299,67008.3
1283,4862,0.156517,78752
1463,3091,0.813419,34423
4952,3420,0.0622566,95376
2738,3665,0.839422,39559.3
122,3672,0.666157,46349.3
2390,3596,0.950374,43479
768,543,0.262328,62651
766,923,0.696004,45625
1413,1258,0.788147,47973.3
1291,506,0.236858,66674.3
4619,1791,0.135183,97848.3
2003,2699,0.318952,67279.7
2941,1164,0.567343,50166.7
3297,315,0.736787,42187
4699,2521,0.963464,40426
853,3436,0.5584,46185
979,2783,0.694439,40719
108,1457,0.550657,49793.7
410,2779,0.824287,38380
3844,1246,0.0435429,113658
4228,2689,0.819086,38844.3
1336,127,0.498273,57475.3
784,4160,0.0356748,98677
4453,2692,0.631965,48821.7
2091,3072,0.669159,45904.3
4758,2128,0.372259,61193.3
3912,1104,0.880604,44202.7
4358,4604,0.75316,46292.3
1694,2741,0.163256,81224
3768,1942,0.554277,46205
255,469,0.51341,46077
620,2563,0.0787649,95082.3
3584,4370,0.424881,57978
294,4837,0.629688,48153.7
4128,593,0.159777,80104
1294,828,0.495729,43483
2870,3722,0.23292,63886
614,3121,0.188248,76435
1179,4211,0.216078,71955
856,1335,0.891195,39144
2370,4346,0.301174,67071
809,2399,0.992956,40873.3
1642,2883,0.676178,46116
2597,1375,0.0441511,104271
4899,864,0.784497,46845.7
3844,4626,0.490803,48730
2707,4781,0.133571,100444
4645,3711,0.259594,76135
1633,3864,0.596907,47493
2561,3410,0.368971,48354
2925,3001,0.427054,54814.7
2113,3289,0.0561202,94992.7
1143,1630,0.67735,43842
1886,1069,0.157558,74397.7
4379,2285,0.240537,84889.7
4052,3224,0.525333,44011.7
1611,4056,0.93708,37780.7
605,191,0.752729,47244.3
2890,4755,0.228759,74449.3
584,1662,0.719461,40208.3
1321,2058,0.885642,43472.3
1991,3112,0.788321,40494.3
944,396,0.808772,41869
1203,4113,0.441084,47480.7
2914,4538,0.933689,40449.3
475,3860,0.171974,91072.7
1304,1294,0.622458,43144.7
628,3681,0.787203,44448
3345,1024,0.404353,57922
4768,1285,0.0464635,109134
3031,1029,0.645324,44083
648,2516,0.740856,50923.7
2887,4436,0.943684,42790.7
4003,1893,0.524108,47844.3
2190,3781,0.42575,47090.3
1259,736,0.175511,78981
375,2618,0.67176,45401
2011,4121,0.245116,75720.7
211,2694,0.836377,35613
4314,1489,0.482484,60063.3
957,4436,0.949326,39445.7
210,1477,0.0866176,98063.3
2766,4742,0.538108,47177.7
4957,1583,0.197706,69771.3
4892,3468,0.40573,61735.3
2204,969,0.102976,89449.3
2578,1525,0.0343115,104719
3728,261,0.0367536,115281
2645,3809,0.822257,41294.7
4086,1528,0.119035,80200.7
229,1968,0.12775,90097.7
4733,4451,0.610425,48155
1103,1462,0.183778,87126
1999,4910,0.823347,44413.3
1628,4857,0.549145,58909
4352,2143,0.970646,38244
789,2031,0.283278,61572
1892,4261,0.0908017,98882.7
4397,4766,0.329609,65416.3
668,1452,0.0422135,112690
4344,1019,0.092574,87275.3
3616,3705,0.981058,40600.3
4619,3669,0.162826,82918.7
412,3899,0.313942,67601
537,4148,0.660722,45993.3
4920,3694,0.237529,60161
1708,1176,0.0168428,105834
915,1711,0.451594,64996.7
248,3384,0.651704,48997.7
772,2545,0.843596,44120
209,4862,0.28598,74866.3
1747,1651,0.0249926,116476
