temp,cooling,epochs,steps,cost
4726.06,0.911863,467,3.02831,113648
1199.43,0.910434,127,0.896139,259555
6602.96,0.901179,935,5.75767,108938
6022.09,0.972534,764,4.91216,107941
2165.72,0.961756,821,1.42044,118161
206.424,0.964353,559,0.376541,193424
1029.98,0.952582,829,6.83872,108091
5386.69,0.929304,282,4.17164,118554
993.959,0.878578,875,6.76358,107816
8777.9,0.980456,107,3.15186,1.12618e+06
1260.23,0.870679,242,7.51371,111015
7479.64,0.853994,654,6.55632,108297
4115.4,0.966921,361,6.71102,110140
8618.09,0.915801,368,9.42364,108919
9225.42,0.89915,419,7.26312,108033
2723.33,0.856622,195,0.983782,206453
6752.41,0.857431,379,1.83977,130762
6764.29,0.86885,859,6.04782,108144
6600.83,0.903237,974,7.61208,109264
1588.86,0.955806,227,8.86736,112075
7481.03,0.87375,59,7.19962,180971
4812.75,0.870938,84,9.49458,131229
248.326,0.993258,999,2.41698,107487
7760.09,0.987853,402,1.87418,214559
3955.7,0.98642,491,2.00723,139854
3023.25,0.922937,150,3.5187,146435
2650.16,0.873772,704,3.3143,107942
3767.17,0.909603,248,9.25167,108511
1055.85,0.929273,584,9.72953,106931
6887.84,0.963522,111,2.94934,313633
5379.82,0.917771,266,5.80629,114771
7039.87,0.914432,269,6.47041,111795
7308.27,0.947676,800,7.83798,107808
8478.83,0.989289,397,4.3578,237137
5073.77,0.875428,987,7.84691,107696
9707.65,0.914501,93,1.6712,269754
8661.42,0.927825,25,8.72339,1.31699e+06
2999.19,0.908653,869,9.56375,106235
8612.33,0.869749,239,4.83166,119315
4997.1,0.963627,31,9.45442,1.38381e+06
7247.57,0.940321,568,4.00625,109540
7346.44,0.961011,441,9.61653,105870
1062.9,0.90796,427,2.4845,117900
6732.39,0.954102,76,5.4016,380326
3445.39,0.901836,563,2.72295,113117
2100.75,0.85318,524,6.08624,107586
9163.69,0.902708,173,5.77969,125751
7788.48,0.968148,410,5.3611,109104
4098.26,0.984617,864,9.02361,103262
9772.07,0.869798,950,8.11829,106620
2689.58,0.917234,595,6.75221,108297
4563.42,0.869563,347,1.84912,134434
1891.97,0.858055,847,1.84078,112648
2400.97,0.912168,636,7.25742,108487
4404.37,0.909537,932,8.58276,107927
5438.18,0.877202,911,6.19802,108328
7352.61,0.929629,571,5.84217,108200
9482.11,0.8598,678,6.53139,105322
2449.83,0.963818,674,0.681684,148948
7517.19,0.86267,253,7.7013,109680
7595.2,0.968815,309,7.21478,112309
585.894,0.950036,813,6.25801,106306
3305.33,0.891571,580,2.90607,111269
1612.76,0.979556,911,8.58579,104945
3894.1,0.864154,743,6.85461,107726
1255.66,0.925066,864,2.10733,112030
9511.89,0.982492,155,6.89095,743956
